"","Date","Pr","Tmean"
"1","1981-01-01",0,18.2
"2","1981-01-02",0,17.6
"3","1981-01-03",0,16.8
"4","1981-01-04",0,17.4
"5","1981-01-05",0,17.6
"6","1981-01-06",0,17
"7","1981-01-07",0,17.6
"8","1981-01-08",0,18.6
"9","1981-01-09",0,19.8
"10","1981-01-10",0,21.5
"11","1981-01-11",3.8,17.6
"12","1981-01-12",0,16.2
"13","1981-01-13",0,15.8
"14","1981-01-14",0,16.5
"15","1981-01-15",0,16.9
"16","1981-01-16",0,16.7
"17","1981-01-17",0,16.6
"18","1981-01-18",NA,17.8
"19","1981-01-19",0,16.7
"20","1981-01-20",0,20
"21","1981-01-21",NA,19
"22","1981-01-22",0,20.6
"23","1981-01-23",0,18.8
"24","1981-01-24",0,18.2
"25","1981-01-25",0,17.7
"26","1981-01-26",0,18.2
"27","1981-01-27",0,19.7
"28","1981-01-28",0,20.1
"29","1981-01-29",0,20
"30","1981-01-30",0,17.7
"31","1981-01-31",0,17.2
"32","1981-02-01",4.2,16.8
"33","1981-02-02",NA,18.4
"34","1981-02-03",0,17.6
"35","1981-02-04",0,17.3
"36","1981-02-05",0,17.3
"37","1981-02-06",1.4,17.1
"38","1981-02-07",0,17.3
"39","1981-02-08",0,18.5
"40","1981-02-09",0,21.3
"41","1981-02-10",0,17
"42","1981-02-11",NA,15.4
"43","1981-02-12",NA,15.6
"44","1981-02-13",2.5,16.7
"45","1981-02-14",4.8,14.3
"46","1981-02-15",0.3,16.8
"47","1981-02-16",0,16.1
"48","1981-02-17",0,16.6
"49","1981-02-18",0,17.6
"50","1981-02-19",0,16.5
"51","1981-02-20",NA,16.1
"52","1981-02-21",0,15.8
"53","1981-02-22",0,15.1
"54","1981-02-23",0,16.1
"55","1981-02-24",0,16.7
"56","1981-02-25",0,17.1
"57","1981-02-26",0,19.7
"58","1981-02-27",0,20.4
"59","1981-02-28",0,18.8
"60","1981-03-01",2,17.5
"61","1981-03-02",0,17.7
"62","1981-03-03",NA,17.1
"63","1981-03-04",0,17.1
"64","1981-03-05",0,17.9
"65","1981-03-06",0,18.2
"66","1981-03-07",0,18.1
"67","1981-03-08",0,19.9
"68","1981-03-09",0,24.8
"69","1981-03-10",0,27.9
"70","1981-03-11",0,28.2
"71","1981-03-12",0,24.9
"72","1981-03-13",0,22.8
"73","1981-03-14",0,20
"74","1981-03-15",0,19.7
"75","1981-03-16",0,19.7
"76","1981-03-17",0,18.1
"77","1981-03-18",NA,18
"78","1981-03-19",0,18.3
"79","1981-03-20",0,17.9
"80","1981-03-21",0,18.3
"81","1981-03-22",0,20.1
"82","1981-03-23",0,19.6
"83","1981-03-24",0,19.2
"84","1981-03-25",0,20.6
"85","1981-03-26",0,19.3
"86","1981-03-27",0,21.3
"87","1981-03-28",0,20.2
"88","1981-03-29",0,20.2
"89","1981-03-30",0,19.1
"90","1981-03-31",0,17.9
"91","1981-04-01",0,17
"92","1981-04-02",0,18
"93","1981-04-03",NA,18.8
"94","1981-04-04",0,19.5
"95","1981-04-05",NA,18.7
"96","1981-04-06",0,19.9
"97","1981-04-07",NA,18.1
"98","1981-04-08",1.3,18.4
"99","1981-04-09",0,20
"100","1981-04-10",0,18.4
"101","1981-04-11",0,18.4
"102","1981-04-12",0,17
"103","1981-04-13",0,19
"104","1981-04-14",0,18.7
"105","1981-04-15",0,18.7
"106","1981-04-16",0,19.2
"107","1981-04-17",0,19.4
"108","1981-04-18",0,18.8
"109","1981-04-19",0,18
"110","1981-04-20",0,17.8
"111","1981-04-21",0,18.1
"112","1981-04-22",0,17
"113","1981-04-23",0,17.5
"114","1981-04-24",0,17.9
"115","1981-04-25",0,18.1
"116","1981-04-26",NA,18.5
"117","1981-04-27",0,18.4
"118","1981-04-28",0,17.1
"119","1981-04-29",0,18
"120","1981-04-30",0,18
"121","1981-05-01",0,16.9
"122","1981-05-02",0,17.8
"123","1981-05-03",0,19.1
"124","1981-05-04",0,18.8
"125","1981-05-05",0,18.4
"126","1981-05-06",0.4,20
"127","1981-05-07",0,19.9
"128","1981-05-08",0,19.3
"129","1981-05-09",0,19.4
"130","1981-05-10",0,18.4
"131","1981-05-11",0,18.7
"132","1981-05-12",0,18.3
"133","1981-05-13",0,19.5
"134","1981-05-14",0,19.7
"135","1981-05-15",0,20.5
"136","1981-05-16",0,19.7
"137","1981-05-17",0,18.8
"138","1981-05-18",0,20
"139","1981-05-19",0,18.9
"140","1981-05-20",0,20.7
"141","1981-05-21",0,20.3
"142","1981-05-22",0,20.6
"143","1981-05-23",0,19.6
"144","1981-05-24",0,20.4
"145","1981-05-25",0,21.1
"146","1981-05-26",0,20.6
"147","1981-05-27",0,19.6
"148","1981-05-28",0,19.5
"149","1981-05-29",0,19.4
"150","1981-05-30",0,19.3
"151","1981-05-31",0,19.5
"152","1981-06-01",0,21.3
"153","1981-06-02",0,20.8
"154","1981-06-03",0,20.6
"155","1981-06-04",0,21
"156","1981-06-05",0,21.4
"157","1981-06-06",0,20.8
"158","1981-06-07",0,20.6
"159","1981-06-08",0,22
"160","1981-06-09",0,21.8
"161","1981-06-10",0,21.7
"162","1981-06-11",0,21.9
"163","1981-06-12",0,20.7
"164","1981-06-13",0,21.5
"165","1981-06-14",0,22.2
"166","1981-06-15",0,21.4
"167","1981-06-16",0,22.2
"168","1981-06-17",0,24.6
"169","1981-06-18",0,21.8
"170","1981-06-19",0,22.9
"171","1981-06-20",0,23.6
"172","1981-06-21",0,23.3
"173","1981-06-22",0,22.8
"174","1981-06-23",0,24
"175","1981-06-24",0,23.5
"176","1981-06-25",0,23.8
"177","1981-06-26",0,23
"178","1981-06-27",0,23.8
"179","1981-06-28",0,22.9
"180","1981-06-29",0,22.6
"181","1981-06-30",0,22.3
"182","1981-07-01",0,21.3
"183","1981-07-02",0,22.6
"184","1981-07-03",0,23.1
"185","1981-07-04",0,23.2
"186","1981-07-05",0,22.2
"187","1981-07-06",0,22.3
"188","1981-07-07",0,22
"189","1981-07-08",0,22
"190","1981-07-09",0,22.3
"191","1981-07-10",0,23
"192","1981-07-11",0,22.4
"193","1981-07-12",0,22.8
"194","1981-07-13",0,23.4
"195","1981-07-14",0,22.3
"196","1981-07-15",0,22.1
"197","1981-07-16",0,22.6
"198","1981-07-17",0,23.7
"199","1981-07-18",0,23.2
"200","1981-07-19",0,22.4
"201","1981-07-20",0,22.9
"202","1981-07-21",0,25.8
"203","1981-07-22",0,24.8
"204","1981-07-23",0,23
"205","1981-07-24",0,23.4
"206","1981-07-25",0,26.1
"207","1981-07-26",0,23.9
"208","1981-07-27",0,24
"209","1981-07-28",0,24.7
"210","1981-07-29",0,23
"211","1981-07-30",0,22.5
"212","1981-07-31",0,23.9
"213","1981-08-01",0,23.2
"214","1981-08-02",0,23.2
"215","1981-08-03",0,23.4
