EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 12-06-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
0.1mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTIAGO DE COMPOSTELA/LABACOLLA, SPAIN (STAID: 1394)
Blended and updated with sources:19729 908042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1394, 19729,19431101,    6,    0
  1394, 19729,19431102,    0,    0
  1394, 19729,19431103,    0,    0
  1394, 19729,19431104,    0,    0
  1394, 19729,19431105,    0,    0
  1394, 19729,19431106,    0,    0
  1394, 19729,19431107,    0,    0
  1394, 19729,19431108,    0,    0
  1394, 19729,19431109,    0,    0
  1394, 19729,19431110,    0,    0
  1394, 19729,19431111,    0,    0
  1394, 19729,19431112,    0,    0
  1394, 19729,19431113,   18,    0
  1394, 19729,19431114,   48,    0
  1394, 19729,19431115,   75,    0
  1394, 19729,19431116,   42,    0
  1394, 19729,19431117,   46,    0
  1394, 19729,19431118,    9,    0
  1394, 19729,19431119,   14,    0
  1394, 19729,19431120,    0,    0
  1394, 19729,19431121,    0,    0
  1394, 19729,19431122,   42,    0
  1394, 19729,19431123,   58,    0
  1394, 19729,19431124,  216,    0
  1394, 19729,19431125,  274,    0
  1394, 19729,19431126,   63,    0
  1394, 19729,19431127,   17,    0
  1394, 19729,19431128,    0,    0
  1394, 19729,19431129,    0,    0
  1394, 19729,19431130,    0,    0
  1394, 19729,19431201,    0,    0
  1394, 19729,19431202,   42,    0
  1394, 19729,19431203,   80,    0
  1394, 19729,19431204,    0,    0
  1394, 19729,19431205,   70,    0
  1394, 19729,19431206,   15,    0
  1394, 19729,19431207,    0,    0
  1394, 19729,19431208,   40,    0
  1394, 19729,19431209,   50,    0
  1394, 19729,19431210,  160,    0
  1394, 19729,19431211,    4,    0
  1394, 19729,19431212,    0,    0
  1394, 19729,19431213,    0,    0
  1394, 19729,19431214,    0,    0
  1394, 19729,19431215,    7,    0
